item,eff_weight,count,class,role,reason,remedy
synapse weight byte=8,-15.0,2,G,"RAM byte    -> JMP_BCK (-15) also halt backward on food (eat, don't wa",Hand-set value (eff -15.000); comment documents intent ('RAM byte    -> JMP_BCK (-15) also halt backward on food (eat'); function 'retuned 2026-07-11'. Fails Tuning Test 21.4.,"Make evolvable (E): seed neutral/derived, let selection shape; or derive from LIF dynamics; else delete."
synapse weight byte=88,-5.0,1,G,Bias        -> REPRODUCE (-5) raises threshold,Hand-set value (eff -5.000); comment documents intent ('Bias        -> REPRODUCE (-5) raises threshold'); function 'retuned 2026-07-11'. Fails Tuning Test 21.4.,"Make evolvable (E): seed neutral/derived, let selection shape; or derive from LIF dynamics; else delete."
synapse weight byte=120,-1.0,1,G,rich neighbour ahead -> approach (weak),Hand-set value (eff -1.000); comment documents intent ('rich neighbour ahead -> approach (weak)'); function 'retuned 2026-07-11'. Fails Tuning Test 21.4.,"Make evolvable (E): seed neutral/derived, let selection shape; or derive from LIF dynamics; else delete."
synapse weight byte=128,0.0,13,H,eye_k -> GATE (silent),Neutral zero (byte 128 = eff 0): additive identity / silent scaffold wiring; not tuned.,Keep — legitimate neutral init.
synapse weight byte=148,2.5,1,G,Bias        -> JMP_FWD (+2.5) gentle drift,Hand-set value (eff +2.500); comment documents intent ('Bias        -> JMP_FWD (+2.5) gentle drift'); function 'retuned 2026-07-11'. Fails Tuning Test 21.4.,"Make evolvable (E): seed neutral/derived, let selection shape; or derive from LIF dynamics; else delete."
synapse weight byte=168,5.0,1,G,Bias -> CONSUME (+5) occasional off-food consume/write,Hand-set value (eff +5.000); comment documents intent ('Bias -> CONSUME (+5) occasional off-food consume/write'); function 'retuned 2026-07-11'. Fails Tuning Test 21.4.,"Make evolvable (E): seed neutral/derived, let selection shape; or derive from LIF dynamics; else delete."
synapse weight byte=176,6.0,1,G,Energy      -> REPRODUCE (+6),Hand-set value (eff +6.000); comment documents intent ('Energy      -> REPRODUCE (+6)'); function 'retuned 2026-07-11'. Fails Tuning Test 21.4.,"Make evolvable (E): seed neutral/derived, let selection shape; or derive from LIF dynamics; else delete."
synapse weight byte=200,9.0,5,G,crowded ahead -> back off (disperse) | look-ahead -> JMP_FWD,Hand-set value (eff +9.000); comment documents intent ('crowded ahead -> back off (disperse) | look-ahead -> JMP_FWD'); function 'retuned 2026-07-11'. Fails Tuning Test 21.4.,"Make evolvable (E): seed neutral/derived, let selection shape; or derive from LIF dynamics; else delete."
synapse weight byte=220,11.5,2,G,food ahead -> advance,Hand-set value (eff +11.500); comment documents intent ('food ahead -> advance'); function 'retuned 2026-07-11'. Fails Tuning Test 21.4.,"Make evolvable (E): seed neutral/derived, let selection shape; or derive from LIF dynamics; else delete."
synapse weight byte=224,12.0,4,G,food ahead  -> JMP_FWD (+12) advance toward food | food behind -> JMP_,Hand-set value (eff +12.000); comment documents intent ('food ahead  -> JMP_FWD (+12) advance toward food | food behi'); function 'retuned 2026-07-11'. Fails Tuning Test 21.4.,"Make evolvable (E): seed neutral/derived, let selection shape; or derive from LIF dynamics; else delete."
synapse weight byte=255,15.875,7,G,RAM byte    -> CONSUME (+~16) | food here  -> eat,Hand-set value (eff +15.875); comment documents intent ('RAM byte    -> CONSUME (+~16) | food here  -> eat'); function 'retuned 2026-07-11'. Fails Tuning Test 21.4.,"Make evolvable (E): seed neutral/derived, let selection shape; or derive from LIF dynamics; else delete."
"NEURON_MARKER hidden x5 = (128,128,128)",0.0,5,H,"5 evolution-buffer hidden neurons, all params centered/neutral",Centered neutral values (128); no tuned behaviour.,Keep neutral seed.
"NEURON_MARKER rec0 = (0,40,8) -> 'mid thresh, tau 9'",,1,G,receptor neuron threshold/tau literals,"tau=9, threshold set by designer with no hardware derivation (violates 21.5).","Derive tau/thresh from measured LIF device, or make evolvable genes."
SENSOR_MARKER offsets = 128+LONG_JUMP_STRIDE / 128+1,,6,G,look-ahead / touch sensor reach,Offset depends on LONG_JUMP_STRIDE (a flagged design constant) -> not hardware-derived.,"Derive look-ahead from substrate geometry, or evolve the offset."
SENSOR_MARKER aff_type / slot ids,,6,O,sensor affordance-type + slot identifiers,Documented ISA identifiers; carry no tunable physics (21.3).,List in ISA doc.
weight BYTE RANGE uint8 centered 128 (signed +/-127),,38,H,synaptic weight storage format,"Follows from 8-bit architecture: W_MIN=-128, W_MAX=+127, CELL_STATES=256.",Keep (documented H).
"weight SCALE eff=(byte-128)/8, divisor=BITS_PER_BYTE",,38,H,fixed-point normalisation to +/-16,Divisor 8 = BITS_PER_BYTE -> normalisation by byte width (hardware-derived).,Keep; document derivation inline.
GENE/NEURON/SENSOR markers + sense/target IDs,,46,O,opcode/marker instruction set,"Arbitrary documented ISA identifiers, no tunable physics (21.3).",List in ISA doc.
